,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,时间,代码,,收盘价,涨跌
1,201510,1,平安银行,11.36,64.6432,,,,,,,,,,,,,,
2,201511,1,平安银行,11.74,28.235,,,,,,,,,,,,,,
3,201512,1,平安银行,11.99,18.5756,,,,,,,,,,,,,,
4,201601,1,平安银行,10.0,-147.8621,,,,,,,,,,,,,,
5,201602,1,平安银行,9.56,-32.6931,,,,,,,,,,,,,,
6,201603,1,平安银行,10.64,80.2467,,,,,,,,,,,,,,
7,201604,1,平安银行,10.57,-5.2012,,,,,,,,,,,,,,
8,201605,1,平安银行,10.55,-1.4861,,,,,,,,,,,,,,
9,201606,1,平安银行,8.7,3.5932,,,,,,,,,,,,,,
10,201607,1,平安银行,9.2,45.2578,,,,,,,,,,,,,,
11,201608,1,平安银行,9.49,26.2495,,,,,,,,,,,,,,
12,201609,1,平安银行,9.07,-38.0165,,,,,,,,,,,,,,
13,201610,1,平安银行,9.15,7.2412,,,,,,,,,,,,,,
14,201611,1,平安银行,9.55,36.2062,,,,,,,,,,,,,,
15,201612,1,平安银行,9.1,-40.732,,,,,,,,,,,,,,
16,201701,1,平安银行,9.33,20.8186,,,,,,,,,,,,,,
17,201702,1,平安银行,9.48,13.5773,,,,,,,,,,,,,,
18,201703,1,平安银行,9.17,-28.0598,,,,,,,,,,,,,,
19,201704,1,平安银行,8.99,-16.2928,,,,,,,,,,,,,,
20,201705,1,平安银行,9.2,19.0083,,,,,,,,,,,,,,
21,201706,1,平安银行,9.39,17.1979,,,,,,,,,,,,,,
22,201707,1,平安银行,10.67,130.1552,,,,,,,,,,,,,,
23,201708,1,平安银行,11.28,56.0317,,,,,,,,,,,,,,
24,201709,1,平安银行,11.11,-15.6154,,,,,,,,,,,,,,
25,201710,1,平安银行,11.54,39.4978,,,,,,,,,,,,,,
26,201711,1,平安银行,13.38,169.0137,,,,,,,,,,,,,,
27,201712,1,平安银行,13.3,-7.3484,,,,,,,,,,,,,,
28,201801,1,平安银行,14.05,68.8915,,,,,,,,,,,,,,
29,201802,1,平安银行,12.05,-183.7106,,,,,,,,,,,,,,
30,201803,1,平安银行,10.9,-105.6336,,,,,,,,,,,,,,
31,201804,1,平安银行,10.85,-4.5928,,,,,,,,,,,,,,
32,201805,1,平安银行,10.18,-61.543,,,,,,,,,,,,,,
33,201806,1,平安银行,9.09,-100.1223,,,,,,,,,,,,,,
34,201807,1,平安银行,9.42,44.3328,,,,,,,,,,,,,,
35,201808,1,平安银行,10.13,66.274,,,,,,,,,,,,,,
36,201809,1,平安银行,11.05,85.8762,,,,,,,,,,,,,,
37,201810,1,平安银行,10.91,-13.0681,,,,,,,,,,,,,,
38,201811,1,平安银行,10.36,-51.339,,,,,,,,,,,,,,
39,201812,1,平安银行,9.38,-91.4768,,,,,,,,,,,,,,
40,201901,1,平安银行,11.1,160.5511,,,,,,,,,,,,,,
41,201902,1,平安银行,12.36,117.613,,,,,,,,,,,,,,
42,201903,1,平安银行,12.82,42.9381,,,,,,,,,,,,,,
43,201904,1,平安银行,13.85,96.144,,,,,,,,,,,,,,
44,201905,1,平安银行,12.18,-155.8839,,,,,,,,,,,,,,
45,201906,1,平安银行,13.78,162.9001,,,,,,,,,,,,,,
46,201907,1,平安银行,14.13,33.0144,,,,,,,,,,,,,,
47,201908,1,平安银行,14.16,2.8298,,,,,,,,,,,,,,
48,201909,1,平安银行,15.59,134.8876,,,,,,,,,,,,,,
49,201910,1,平安银行,16.26,63.1991,,,,,,,,,,,,,,
50,201911,1,平安银行,15.29,-91.4972,,,,,,,,,,,,,,
51,201912,1,平安银行,16.45,109.4193,,,,,,,,,,,,,,
