,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,0.0,0,0.0,0.0,0,0.0,0.0,输入的证券代码有误。,代码,,成交量,换手率
1,201510,1.0,平安银行,1124822302.0,9.5292,,,,,,,,
2,201511,1.0,平安银行,1895125491.0,16.0552,,,,,,,,
3,201512,1.0,平安银行,1615908392.0,13.6894,,,,,,,,
4,201601,1.0,平安银行,1050379155.0,8.8985,,,,,,,,
5,201602,1.0,平安银行,664737173.0,5.6314,,,,,,,,
6,201603,1.0,平安银行,1278890404.0,10.8344,,,,,,,,
7,201604,1.0,平安银行,875070543.0,7.4133,,,,,,,,
8,201605,1.0,平安银行,700489831.0,5.8642,,,,,,,,
9,201606,1.0,平安银行,709376004.0,5.2728,,,,,,,,
10,201607,1.0,平安银行,946131093.0,6.4665,,,,,,,,
11,201608,1.0,平安银行,1738665976.0,11.8831,,,,,,,,
12,201609,1.0,平安银行,831864568.0,5.6859,,,,,,,,
13,201610,1.0,平安银行,789180325.0,5.3938,,,,,,,,
14,201611,1.0,平安银行,1749322107.0,11.9561,,,,,,,,
15,201612,1.0,平安银行,1301993779.0,8.8985,,,,,,,,
16,201701,1.0,平安银行,762925866.0,4.6585,,,,,,,,
17,201702,1.0,平安银行,846052709.0,5.0009,,,,,,,,
18,201703,1.0,平安银行,1288934537.0,7.6185,,,,,,,,
19,201704,1.0,平安银行,802433826.0,4.743,,,,,,,,
20,201705,1.0,平安银行,1225264646.0,7.2423,,,,,,,,
21,201706,1.0,平安银行,1271809174.0,7.5175,,,,,,,,
22,201707,1.0,平安银行,3536094912.0,20.9013,,,,,,,,
23,201708,1.0,平安银行,2628136276.0,15.5346,,,,,,,,
24,201709,1.0,平安银行,1610183841.0,9.5176,,,,,,,,
25,201710,1.0,平安银行,1395196407.0,8.2469,,,,,,,,
26,201711,1.0,平安银行,4248129384.0,25.1103,,,,,,,,
27,201712,1.0,平安银行,2966183816.0,17.5329,,,,,,,,
28,201801,1.0,平安银行,4614537656.0,27.276,,,,,,,,
29,201802,1.0,平安银行,2562447321.0,15.1462,,,,,,,,
